"Reference","Value","Datasheet","Footprint","Qty","DNP"
"BT1,BT2,BT3,BT4","Battery_Cell","~","Battery:BatteryHolder_Keystone_1042_1x18650","4",""
"C1,C4","10uF","~","Capacitor_THT:C_Disc_D5.1mm_W3.2mm_P5.00mm","2",""
"C2","100uF","~","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","1",""
"C3","1uF","~","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","1",""
"C5","100uF 16v","~","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","1",""
"D1,D2,D3,D4,D5,D6","D_Schottky","~","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","6",""
"D7,D8,D11,D12,D13","1N5819","http://www.vishay.com/docs/88525/1n5817.pdf","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","5",""
"D9,D10","LED","~","LED_THT:LED_Rectangular_W3.0mm_H2.0mm","2",""
"J1","Barrel_Jack","~","Connector_BarrelJack:BarrelJack_SwitchcraftConxall_RAPC10U_Horizontal","1",""
"J2","Conn_01x02_Pin","~","Connector_PinHeader_2.00mm:PinHeader_1x02_P2.00mm_Vertical","1",""
"L1","68uH","~","Inductor_THT:L_Axial_L5.0mm_D3.6mm_P10.00mm_Horizontal_Murata_BL01RN1A2A2","1",""
"R1","568k","~","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","1",""
"R2,R3","1k","~","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","2",""
"R4","0.22","~","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","1",""
"R5","0.5","~","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","1",""
"R6","446k","~","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","1",""
"R7","200k","~","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","1",""
"RV1","10k","~","Potentiometer_THT:Potentiometer_Bourns_3386P_Vertical","1",""
"SC1,SC2,SC3,SC4,SC5,SC6","Solar_Cells","~","Connector_PinHeader_2.00mm:PinHeader_1x02_P2.00mm_Vertical","6",""
"U1","LT3652EMSE","https://www.analog.com/media/en/technical-documentation/data-sheets/3652fe.pdf","Package_SO:MSOP-12-1EP_3x4mm_P0.65mm_EP1.65x2.85mm","1",""
